country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,_merge,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Guyana,GUY,48,6,779004,5.8915401,1.690196,.84509802,110,both in master and using data,Guyana,166,.67299998,.421,.419
Suriname,SUR,10,1,575991,5.7604165,1.0413927,.30103001,115,both in master and using data,Suriname,4,.736,.55000001,.40900001
Ecuador,ECU,7603,355,17084357,7.2325988,3.881042,2.55145,130,both in master and using data,Ecuador,75,.67299998,.50199997,.47299999
Peru,PER,10303,230,31989256,7.5050039,4.0130057,2.3636119,135,both in master and using data,Peru,30,.78399998,.67400002,.54900002
Brazil,BRA,25262,1532,209469333,8.3211203,4.4024849,3.1855421,140,both in master and using data,Brazil,19,.67400002,.50800002,.43900001
Bolivia,BOL,397,28,11353142,7.0551162,2.5998831,1.4623981,145,both in master and using data,Bolivia,25,.537,.30599999,.40099999
Paraguay,PRY,161,8,6956071,6.8423638,2.2095151,.95424253,150,both in master and using data,Paraguay,189,.60100001,.42699999,.39199999
Chile,CHL,7917,92,18729160,7.2725182,3.8986156,1.968483,155,both in master and using data,Chile,72,.773,.76200002,.51899999
Argentina,ARG,2432,105,44494502,7.6483064,3.386142,2.0253057,160,both in master and using data,Argentina,37,.81199998,.63099998,.52700001
Uruguay,URY,533,8,3449299,6.5377312,2.7275412,.95424253,165,both in master and using data,Uruguay,102,.85799998,.77999997,.70300001
United_Kingdom,GBR,93873,12107,66488991,7.8227496,4.9725451,4.0830722,200,both in master and using data,United Kingdom,101,.85900003,.79000002,.62900001
Ireland,IRL,11479,406,4853506,6.6860557,4.0599418,2.6095943,205,both in master and using data,Ireland,81,.86400002,.79900002,.611
Netherlands,NLD,27419,2945,17231017,7.236311,4.4380674,3.4692328,210,both in master and using data,Netherlands,91,.82999998,.78399998,.56800002
Belgium,BEL,31119,4157,11422068,7.057745,4.4930396,3.6188846,211,both in master and using data,Belgium,148,.88200003,.82200003,.61900002
Luxembourg,LUX,3307,67,607728,5.78371,3.5195656,1.8325089,212,both in master and using data,Luxembourg,174,.87900001,.787,.47299999
France,FRA,103573,15729,66987244,7.8259921,5.0152507,4.1967287,220,both in master and using data,France,76,.87900001,.78299999,.60900003
Switzerland,CHE,25753,900,8516543,6.9302635,4.4108448,2.9547248,225,both in master and using data,Switzerland,6,.87300003,.82700002,.77600002
Spain,ESP,172541,18056,46723749,7.6695375,5.2368946,4.2566457,230,both in master and using data,Spain,96,.87599999,.815,.62599999
Portugal,PRT,17448,567,10281762,7.0120678,4.2417707,2.7543483,235,both in master and using data,Portugal,21,.87,.81699997,.602
Germany,DEU,127584,3254,82927922,7.9187007,5.1057997,3.5125511,255,both in master and using data,Germany,77,.83399999,.77899998,.58999997
Poland,POL,7202,263,37978548,7.5795383,3.8575134,2.4216039,290,both in master and using data,Poland,17,.69199997,.5,.48100001
Austria,AUT,14234,384,8847037,6.9467978,4.1533575,2.5854607,305,both in master and using data,Austria,144,.80900002,.72100002,.588
Hungary,HUN,1579,134,9768785,6.9898405,3.198657,2.1303337,310,both in master and using data,Hungary,210,.48500001,.40200001,.32800001
Czechia,CZE,6141,161,10625695,7.0263572,3.7883098,2.2095151,316,both in master and using data,Czech Republic,157,.796,.69700003,.55400002
Slovakia,SVK,835,2,5447011,6.7361584,2.9222062,.47712126,317,both in master and using data,Slovakia,201,.81300002,.71700001,.60900003
Italy,ITA,162488,21069,60431283,7.7812619,5.210824,4.3236647,325,both in master and using data,Italy,82,.86000001,.77200001,.67299998
Malta,MLT,393,3,483530,5.6844244,2.5954962,.60206002,338,both in master and using data,Malta,178,.75700003,.56,.55299997
Albania,ALB,475,24,2866376,6.4573331,2.6776071,1.39794,339,both in master and using data,Albania,12,.48100001,.43099999,.28400001
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638,1.6532125,343,both in master and using data,North Macedonia,176,.63499999,.43200001,.43200001
Croatia,HRV,1704,31,4089400,6.6116595,3.2317245,1.50515,344,both in master and using data,Croatia,154,.68699998,.54500002,.49000001
Bosnia_and_Herzegovina,BIH,1073,39,3323929,6.5216517,3.0310042,1.60206,346,both in master and using data,Bosnia and Herzegovina,150,.53399998,.345,.322
Slovenia,SVN,1220,56,2067372,6.3154187,3.0867157,1.7558749,349,both in master and using data,Slovenia,202,.79699999,.71399999,.60600001
Greece,GRC,2170,101,10727668,7.0305052,3.3366599,2.0086002,350,both in master and using data,Greece,164,.86000001,.76200002,.597
Cyprus,CYP,695,17,1189265,6.0752792,2.8426092,1.2552725,352,both in master and using data,Cyprus,156,.83999997,.70999998,.54100001
Bulgaria,BGR,713,35,7024216,6.8465981,2.8536983,1.5563025,355,both in master and using data,Bulgaria,152,.58700001,.48800001,.43000001
Moldova,MDA,1934,40,3545883,6.5497246,3.2866809,1.6127839,359,both in master and using data,Moldova,126,.58600003,.44499999,.36000001
Romania,ROU,6879,344,19473936,7.289454,3.8375885,2.5378191,360,both in master and using data,Romania,190,.67900002,.43399999,.46000001
Russia,RUS,21102,170,144478050,8.1598015,4.3243442,2.2329962,365,both in master and using data,Russia,11,.24600001,.098999999,.162
Estonia,EST,1373,31,1320884,6.1208649,3.1379867,1.50515,366,both in master and using data,Estonia,161,.89200002,.83999997,.63999999
Latvia,LVA,657,5,1926542,6.2847786,2.8182259,.77815127,367,both in master and using data,Latvia,84,.81099999,.71200001,.57099998
Lithuania,LTU,1070,24,2789533,6.4455318,3.0297894,1.39794,368,both in master and using data,Lithuania,173,.80299997,.73199999,.62300003
Ukraine,UKR,3372,98,44622516,7.6495543,3.5280163,1.9956352,369,both in master and using data,Ukraine,100,.46900001,.292,.30399999
Belarus,BLR,3281,33,9485386,6.9770551,3.5161386,1.5314789,370,both in master and using data,Belarus,107,.257,.115,.1
Armenia,ARM,1111,17,2951776,6.4700837,3.0461047,1.2552725,371,both in master and using data,Armenia,105,.80500001,.64099997,.53200001
Georgia,GEO,300,3,3731000,6.5718255,2.4785664,.60206002,372,both in master and using data,Georgia,118,.64200002,.50400001,.43399999
Azerbaijan,AZE,1197,13,9942334,6.9974885,3.0784569,1.1461281,373,both in master and using data,Azerbaijan,106,.206,.07,.071999997
Finland,FIN,3161,64,5518050,6.7417855,3.4999619,1.8129133,375,both in master and using data,Finland,163,.87,.81300002,.62099999
Sweden,SWE,11445,1033,10183175,7.0078831,4.0586538,3.0145206,380,both in master and using data,Sweden,5,.87400001,.829,.61799997
Norway,NOR,6566,127,5314336,6.7254491,3.8173671,2.1072099,385,both in master and using data,Norway,186,.87400001,.82499999,.62099999
Denmark,DNK,6511,299,5797446,6.763237,3.8137145,2.4771214,390,both in master and using data,Denmark,158,.89999998,.85799998,.69
Iceland,ISL,1720,8,353574,5.5484815,3.235781,.95424253,395,both in master and using data,Iceland,168,.85000002,.76499999,.62400001
Cape_Verde,CPV,11,1,543767,5.7354136,1.0791812,.30103001,402,both in master and using data,Cape Verde,70,.80000001,.72600001,.50199997
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002,0,403,both in master and using data,Sao Tome and Principe,196,.704,.57300001,.45199999
Guinea_Bissau,GNB,40,0,1874309,6.2728415,1.6127839,0,404,both in master and using data,Guinea-Bissau,119,.50700003,.28999999,.213
Equatorial_Guinea,GNQ,41,0,1308974,6.1169314,1.6232493,0,411,both in master and using data,Equatorial Guinea,160,.18000001,.054000001,.057
Gambia,GMB,9,1,2280102,6.3579545,1,.30103001,420,both in master and using data,The Gambia,117,.56800002,.45899999,.34900001
Mali,MLI,144,13,19077690,7.2805257,2.1613679,1.1461281,432,both in master and using data,Mali,28,.46700001,.30899999,.26699999
Senegal,SEN,299,2,15854360,7.2001486,2.4771214,.47712126,433,both in master and using data,Senegal,31,.708,.56099999,.37099999
Benin,BEN,35,1,11485048,7.060133,1.5563025,.30103001,434,both in master and using data,Benin,52,.60299999,.461,.38800001
Mauritania,MRT,7,1,4403319,6.6437802,.90309,.30103001,435,both in master and using data,Mauritania,65,.368,.161,.24699999
Niger,NER,570,14,22442948,7.3510799,2.7566361,1.1760913,436,both in master and using data,Niger,60,.45699999,.34400001,.30199999
Cote_dIvoire,CIV,626,6,25069229,7.3991408,2.7972674,.84509802,437,both in master and using data,Ivory Coast,64,.57999998,.375,.403
Guinea,GIN,363,0,12414318,7.0939231,2.5611014,0,438,both in master and using data,Guinea,63,.442,.16599999,.20200001
Burkina_Faso,BFA,528,30,19751535,7.2956009,2.7234557,1.4913617,439,both in master and using data,Burkina Faso,54,.35800001,.273,.23100001
Liberia,LBR,59,6,4818977,6.6829548,1.7781513,.84509802,450,both in master and using data,Liberia,86,.625,.426,.27000001
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812,0,451,both in master and using data,Sierra Leone,95,.62400001,.39500001,.421
Ghana,GHA,636,8,29767108,7.4737368,2.8041394,.95424253,452,both in master and using data,Ghana,7,.71799999,.60799998,.338
Togo,TGO,77,3,7889094,6.897027,1.8920946,.60206002,461,both in master and using data,Togo,134,.359,.17900001,.23100001
Cameroon,CMR,855,17,25216237,7.4016805,2.9324737,1.2552725,471,both in master and using data,Cameroon,108,.294,.145,.108
Nigeria,NGA,373,11,195874740,8.2919788,2.5728717,1.0791812,475,both in master and using data,Nigeria,45,.498,.33899999,.33000001
Gabon,GAB,75,1,2119275,6.3261876,1.8808136,.30103001,481,both in master and using data,Gabon,116,.36700001,.2,.26300001
Central_African_Republic,CAF,11,0,4666377,6.6689801,1.0791812,0,482,both in master and using data,Central African Republic,71,.38299999,.213,.168
Chad,TCD,23,0,15477751,7.1897078,1.3802112,0,483,both in master and using data,Chad,109,.27000001,.11,.171
Congo,COG,74,5,5244363,6.7196927,1.8750613,.77815127,484,both in master and using data,Republic of the Congo,112,.249,.098999999,.186
Democratic_Republic_of_the_Congo,COD,254,21,84068091,7.9246311,2.4065402,1.3424227,490,both in master and using data,Democratic Republic of the Congo,111,.32699999,.139,.184
Uganda,UGA,55,0,42723139,7.6306634,1.748188,0,500,both in master and using data,Uganda,50,.30700001,.222,.23999999
Kenya,KEN,216,9,51393010,7.7109041,2.3364596,1,501,both in master and using data,Kenya,40,.42899999,.338,.26699999
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937,.60206002,510,both in master and using data,Tanzania,47,.43000001,.34200001,.25299999
Burundi,BDI,5,1,11175378,7.0482621,.77815127,.30103001,516,both in master and using data,Burundi,69,.162,.059,.12800001
Rwanda,RWA,134,0,12301939,7.0899734,2.1303337,0,517,both in master and using data,Rwanda,129,.259,.154,.19400001
Somalia,SOM,60,2,15008154,7.1763272,1.7853298,.47712126,520,both in master and using data,Somalia,130,.161,.102,.094999999
Djibouti,DJI,363,2,958920,5.9817829,2.5611014,.47712126,522,both in master and using data,Djibouti,113,.259,.12800001,.163
Ethiopia,ETH,82,3,109224559,8.0383205,1.9190781,.60206002,530,both in master and using data,Ethiopia,38,.33000001,.176,.14
Eritrea,ERI,35,0,,,1.5563025,0,531,both in master and using data,Eritrea,115,.071000002,.012,.016000001
Angola,AGO,19,2,30809762,7.4886885,1.30103,.47712126,540,both in master and using data,Angola,104,.38600001,.23,.105
Mozambique,MOZ,28,0,29495962,7.4697628,1.4623981,0,541,both in master and using data,Mozambique,57,.40900001,.26899999,.257
Zambia,ZMB,45,2,17351822,7.2393451,1.6627579,.47712126,551,both in master and using data,Zambia,61,.37200001,.27399999,.248
Zimbabwe,ZWE,17,3,14439018,7.1595378,1.2552725,.60206002,552,both in master and using data,Zimbabwe,62,.289,.175,.21799999
Malawi,MWI,16,2,18143315,7.2587166,1.230449,.47712126,553,both in master and using data,Malawi,87,.5,.42399999,.31299999
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969,1.447158,560,both in master and using data,South Africa,8,.67799997,.57499999,.43399999
Namibia,NAM,16,0,2448255,6.3888569,1.230449,0,565,both in master and using data,Namibia,127,.69999999,.56800002,.428
Botswana,BWA,13,1,2254126,6.3529782,1.1461281,.30103001,571,both in master and using data,Botswana,68,.66799998,.55000001,.41600001
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412,0,572,both in master and using data,Eswatini,132,.149,.122,.083999999
Madagascar,MDG,108,0,26262368,7.4193339,2.0374265,0,580,both in master and using data,Madagascar,125,.49599999,.31299999,.25799999
Mauritius,MUS,324,9,1265303,6.1021948,2.5118833,1,590,both in master and using data,Mauritius,180,.81800002,.71399999,.52499998
Seychelles,SYC,11,0,96762,4.9857092,1.0791812,0,591,both in master and using data,Seychelles,199,.56300002,.48199999,.208
Morocco,MAR,1888,126,36029138,7.556654,3.276232,2.1038036,600,both in master and using data,Morocco,90,.28999999,.25600001,.215
Algeria,DZA,2070,326,42228429,7.6256051,3.31618,2.5145478,615,both in master and using data,Algeria,103,.30000001,.119,.111
Tunisia,TUN,747,34,11565204,7.0631533,2.8739016,1.5440681,616,both in master and using data,Tunisia,98,.72299999,.65499997,.44100001
Libya,LBY,35,1,6678567,6.8246832,1.5563025,.30103001,620,both in master and using data,Libya,124,.25,.156,.119
Sudan,SDN,32,5,41801533,7.6211925,1.5185139,.77815127,625,both in master and using data,Sudan,33,.213,.086999997,.101
Iran,IRN,74877,4683,81800269,7.9127545,4.8743544,3.6706169,630,both in master and using data,Iran,79,.21699999,.14399999,.052999999
Turkey,TUR,65111,1403,82319724,7.915504,4.8136611,3.147367,640,both in master and using data,Turkey,99,.292,.101,.155
Iraq,IRQ,1400,78,38433600,7.5847111,3.1464381,1.8976271,645,both in master and using data,Iraq,80,.398,.23999999,.26800001
Egypt,EGY,2350,178,98423595,7.9930992,3.3712525,2.2528529,651,both in master and using data,Egypt,13,.19,.126,.117
Syria,SYR,29,2,16906283,7.2280483,1.4771212,.47712126,652,both in master and using data,Syria,97,.145,.043000001,.066
Lebanon,LBN,641,21,6848925,6.8356223,2.8075349,1.3424227,660,both in master and using data,Lebanon,44,.465,.28999999,.27599999
Jordan,JOR,397,7,9956011,6.9980855,2.5998831,.90309,663,both in master and using data,Jordan,83,.27599999,.25400001,.14300001
Israel,ISR,12046,123,8883800,6.9485989,4.0808787,2.0934217,666,both in master and using data,Israel,169,.667,.574,.428
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743,1.8692317,670,both in master and using data,Saudi Arabia,197,.023,.039999999,.018999999
Yemen,YEM,1,0,28498687,7.4548249,.30103001,0,679,both in master and using data,Yemen,14,.123,.041999999,.052999999
Kuwait,KWT,1355,3,4137309,6.6167183,3.1322596,.60206002,690,both in master and using data,Kuwait,171,.31600001,.29499999,.124
Bahrain,BHR,1528,7,1569439,6.1957445,3.1844075,.90309,692,both in master and using data,Bahrain,146,.118,.050000001,.043000001
Qatar,QAT,3428,7,2781677,6.4443069,3.5351675,.90309,694,both in master and using data,Qatar,94,.090999998,.086000003,.028999999
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992,1.4623981,696,both in master and using data,United Arab Emirates,207,.101,.090999998,.043000001
Oman,OMN,910,4,4829483,6.6839008,2.9595184,.69897002,698,both in master and using data,Oman,187,.185,.14300001,.117
Afghanistan,AFG,714,23,37172386,7.5702205,2.854306,1.3802112,700,both in master and using data,Afghanistan,36,.347,.212,.16
Kyrgyzstan,KGZ,449,5,6315800,6.8004284,2.6532125,.77815127,703,both in master and using data,Kyrgyzstan,122,.389,.315,.214
Uzbekistan,UZB,1165,4,32955400,7.5179267,3.0666986,.69897002,704,both in master and using data,Uzbekistan,140,.20900001,.088,.064000003
Kazakhstan,KAZ,1267,14,18276499,7.2618928,3.1031191,1.1760913,705,both in master and using data,Kazakhstan,121,.23100001,.116,.078000002
China,CHN,83352,3346,1392730000,9.1438665,4.9209213,3.5246558,710,both in master and using data,China,110,.082999997,.050000001,.046999998
Mongolia,MNG,30,0,3170208,6.5010877,1.4913617,0,712,both in master and using data,Mongolia,89,.68300003,.52200001,.405
Taiwan,TWN,395,6,23780452,7.3762202,2.5976951,.84509802,713,both in master and using data,Taiwan,48,.81099999,.69700003,.63099998
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782,2.3541083,732,both in master and using data,South Korea,42,.84200001,.77999997,.583
Japan,JPN,8100,119,126529100,8.10219,3.9085386,2.0791812,740,both in master and using data,Japan,9,.81999999,.736,.51999998
India,IND,11438,377,1352617328,9.131175,4.0583882,2.5774918,750,both in master and using data,India,39,.50700003,.36399999,.30700001
Bhutan,BTN,5,0,754394,5.8775988,.77815127,0,760,both in master and using data,Bhutan,53,.55800003,.493,.34999999
Pakistan,PAK,5988,107,212215030,8.3267765,3.7773542,2.0334237,770,both in master and using data,Pakistan,29,.35100001,.211,.17200001
Bangladesh,BGD,1012,46,161356039,8.2077856,3.0056095,1.6720978,771,both in master and using data,Bangladesh,24,.27900001,.1,.175
Myanmar,MMR,74,4,53708395,7.730042,1.8750613,.69897002,775,both in master and using data,Burma/Myanmar,10,.40599999,.24600001,.27399999
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216,.90309,780,both in master and using data,Sri Lanka,131,.61199999,.46900001,.37400001
Maldives,MDV,21,0,515696,5.7123947,1.3424227,0,781,both in master and using data,Maldives,88,.49000001,.32600001,.28999999
Nepal,NPL,16,0,28087871,7.4485188,1.230449,0,790,both in master and using data,Nepal,58,.60500002,.46399999,.391
Thailand,THA,2643,43,69428524,7.841538,3.4222615,1.6434526,800,both in master and using data,Thailand,49,.16599999,.152,.102
Cambodia,KHM,122,0,16249798,7.2108479,2.089905,0,811,both in master and using data,Cambodia,55,.23800001,.088,.13500001
Laos,LAO,19,0,7061507,6.8488975,1.30103,0,812,both in master and using data,Laos,123,.122,.094999999,.104
Vietnam,VNM,274,0,95540395,7.9801869,2.4393327,0,816,both in master and using data,Vietnam,34,.21699999,.122,.19400001
Malaysia,MYS,4987,82,31528585,7.4987044,3.6979265,1.9190781,820,both in master and using data,Malaysia,177,.46599999,.32800001,.28799999
Singapore,SGP,3252,10,5638676,6.7511773,3.512284,1.0413927,830,both in master and using data,Singapore,200,.398,.345,.115
Philippines,PHL,5223,335,106651922,8.0279684,3.7180033,2.5263393,840,both in master and using data,Philippines,46,.47999999,.28600001,.32499999
Indonesia,IDN,4839,459,267663435,8.4275894,3.6848454,2.6627579,850,both in master and using data,Indonesia,56,.63599998,.49399999,.41499999
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802,0,860,both in master and using data,Timor-Leste,74,.75400001,.52200001,.45899999
Australia,AUS,6416,61,24992369,7.3978076,3.807332,1.7923917,900,both in master and using data,Australia,67,.838,.78899997,.602
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126,0,910,both in master and using data,Papua New Guinea,93,.48500001,.373,.27700001
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215,1,920,both in master and using data,New Zealand,185,.87300003,.815,.66799998
Fiji,FJI,16,0,883483,5.9461985,1.230449,0,950,both in master and using data,Fiji,162,.465,.31,.21799999
